c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_regionkey,c_comment
57,Charlie Customer 57,57 Main St,7,555-7658,43420.52,AUTOMOBILE,2,Customer 57 comment
58,Grace Customer 58,58 Main St,8,555-1960,8110.08,BUILDING,3,Customer 58 comment
59,Grace Customer 59,59 Main St,9,555-5345,91916.99,MACHINERY,4,Customer 59 comment
60,Eve Customer 60,60 Main St,10,555-7930,66625.07,HOUSEHOLD,0,Customer 60 comment
61,Henry Customer 61,61 Main St,11,555-3536,10888.77,AUTOMOBILE,1,Customer 61 comment
62,Alice Customer 62,62 Main St,12,555-9883,-3294.67,FURNITURE,2,Customer 62 comment
63,Alice Customer 63,63 Main St,13,555-1821,54259.54,HOUSEHOLD,3,Customer 63 comment
64,Iris Customer 64,64 Main St,14,555-3579,-3743.25,HOUSEHOLD,4,Customer 64 comment
65,Bob Customer 65,65 Main St,15,555-4044,-2462.65,BUILDING,0,Customer 65 comment
66,Diana Customer 66,66 Main St,16,555-7615,3187.53,HOUSEHOLD,1,Customer 66 comment
67,Diana Customer 67,67 Main St,17,555-1651,58131.97,MACHINERY,2,Customer 67 comment
68,Jack Customer 68,68 Main St,18,555-9565,24800.68,FURNITURE,3,Customer 68 comment
69,Diana Customer 69,69 Main St,19,555-6147,16255.45,MACHINERY,4,Customer 69 comment
70,Charlie Customer 70,70 Main St,20,555-5915,40294.7,BUILDING,0,Customer 70 comment
71,Alice Customer 71,71 Main St,21,555-8508,58327.52,HOUSEHOLD,1,Customer 71 comment
72,Bob Customer 72,72 Main St,22,555-2200,49139.78,HOUSEHOLD,2,Customer 72 comment
73,Eve Customer 73,73 Main St,23,555-3170,92658.53,BUILDING,3,Customer 73 comment
74,Diana Customer 74,74 Main St,24,555-7054,21348.61,MACHINERY,4,Customer 74 comment
75,Iris Customer 75,75 Main St,0,555-5956,57284.55,HOUSEHOLD,0,Customer 75 comment
76,Alice Customer 76,76 Main St,1,555-5905,92493.16,BUILDING,1,Customer 76 comment
77,Charlie Customer 77,77 Main St,2,555-5333,2697.15,BUILDING,2,Customer 77 comment
78,Iris Customer 78,78 Main St,3,555-3546,19958.3,HOUSEHOLD,3,Customer 78 comment
79,Diana Customer 79,79 Main St,4,555-6617,12395.7,FURNITURE,4,Customer 79 comment
80,Iris Customer 80,80 Main St,5,555-9004,17623.34,BUILDING,0,Customer 80 comment
81,Bob Customer 81,81 Main St,6,555-7939,81228.29,BUILDING,1,Customer 81 comment
82,Alice Customer 82,82 Main St,7,555-6464,74823.11,FURNITURE,2,Customer 82 comment
83,Charlie Customer 83,83 Main St,8,555-8239,50684.85,MACHINERY,3,Customer 83 comment
84,Iris Customer 84,84 Main St,9,555-1158,2306.13,AUTOMOBILE,4,Customer 84 comment
85,Iris Customer 85,85 Main St,10,555-1590,81805.45,HOUSEHOLD,0,Customer 85 comment
86,Iris Customer 86,86 Main St,11,555-3426,37276.54,BUILDING,1,Customer 86 comment
87,Eve Customer 87,87 Main St,12,555-6974,88887.96,BUILDING,2,Customer 87 comment
88,Frank Customer 88,88 Main St,13,555-4441,65027.34,BUILDING,3,Customer 88 comment
89,Frank Customer 89,89 Main St,14,555-7658,97122.07,AUTOMOBILE,4,Customer 89 comment
90,Diana Customer 90,90 Main St,15,555-3662,97382.66,AUTOMOBILE,0,Customer 90 comment
91,Grace Customer 91,91 Main St,16,555-1406,9729.67,FURNITURE,1,Customer 91 comment
92,Grace Customer 92,92 Main St,17,555-5065,19348.63,BUILDING,2,Customer 92 comment
93,Grace Customer 93,93 Main St,18,555-1634,84445.26,AUTOMOBILE,3,Customer 93 comment
94,Diana Customer 94,94 Main St,19,555-8541,28462.43,AUTOMOBILE,4,Customer 94 comment
95,Diana Customer 95,95 Main St,20,555-1387,62603.65,MACHINERY,0,Customer 95 comment
96,Frank Customer 96,96 Main St,21,555-5564,85078.82,FURNITURE,1,Customer 96 comment
97,Frank Customer 97,97 Main St,22,555-9346,33964.62,HOUSEHOLD,2,Customer 97 comment
98,Frank Customer 98,98 Main St,23,555-1452,2687.59,FURNITURE,3,Customer 98 comment
99,Charlie Customer 99,99 Main St,24,555-5349,-5791.71,HOUSEHOLD,4,Customer 99 comment
100,Grace Customer 100,100 Main St,0,555-6663,70139.96,FURNITURE,0,Customer 100 comment
101,Grace Customer 101,101 Main St,1,555-9379,2721.04,HOUSEHOLD,1,Customer 101 comment
102,Diana Customer 102,102 Main St,2,555-5173,-5117.48,MACHINERY,2,Customer 102 comment
103,Alice Customer 103,103 Main St,3,555-9518,91813.27,HOUSEHOLD,3,Customer 103 comment
104,Diana Customer 104,104 Main St,4,555-6967,37442.71,FURNITURE,4,Customer 104 comment
105,Jack Customer 105,105 Main St,5,555-6143,62972.62,BUILDING,0,Customer 105 comment
106,Eve Customer 106,106 Main St,6,555-9308,24021.31,MACHINERY,1,Customer 106 comment
107,Frank Customer 107,107 Main St,7,555-7592,66692.93,HOUSEHOLD,2,Customer 107 comment
108,Charlie Customer 108,108 Main St,8,555-4143,36249.1,MACHINERY,3,Customer 108 comment
109,Charlie Customer 109,109 Main St,9,555-5930,34668.27,BUILDING,4,Customer 109 comment
110,Eve Customer 110,110 Main St,10,555-5700,13120.1,HOUSEHOLD,0,Customer 110 comment
111,Jack Customer 111,111 Main St,11,555-6279,41148.7,MACHINERY,1,Customer 111 comment
112,Diana Customer 112,112 Main St,12,555-9375,42050.48,AUTOMOBILE,2,Customer 112 comment
113,Bob Customer 113,113 Main St,13,555-5649,46699.72,HOUSEHOLD,3,Customer 113 comment
114,Frank Customer 114,114 Main St,14,555-2530,80026.58,AUTOMOBILE,4,Customer 114 comment
115,Eve Customer 115,115 Main St,15,555-4680,78721.92,AUTOMOBILE,0,Customer 115 comment
116,Alice Customer 116,116 Main St,16,555-1757,16932.68,MACHINERY,1,Customer 116 comment
117,Jack Customer 117,117 Main St,17,555-2193,40095.78,HOUSEHOLD,2,Customer 117 comment
118,Diana Customer 118,118 Main St,18,555-7291,44381.49,AUTOMOBILE,3,Customer 118 comment
119,Charlie Customer 119,119 Main St,19,555-1090,88192.58,BUILDING,4,Customer 119 comment
120,Grace Customer 120,120 Main St,20,555-4585,9347.53,HOUSEHOLD,0,Customer 120 comment
121,Henry Customer 121,121 Main St,21,555-1822,51314.64,BUILDING,1,Customer 121 comment
122,Henry Customer 122,122 Main St,22,555-3184,78155.83,HOUSEHOLD,2,Customer 122 comment
123,Iris Customer 123,123 Main St,23,555-6198,94504.36,MACHINERY,3,Customer 123 comment
124,Jack Customer 124,124 Main St,24,555-9270,36941.48,HOUSEHOLD,4,Customer 124 comment
125,Henry Customer 125,125 Main St,0,555-3607,71802.1,MACHINERY,0,Customer 125 comment
126,Henry Customer 126,126 Main St,1,555-5246,72695.45,FURNITURE,1,Customer 126 comment
127,Iris Customer 127,127 Main St,2,555-8939,58942.33,FURNITURE,2,Customer 127 comment
128,Henry Customer 128,128 Main St,3,555-2269,68489.93,AUTOMOBILE,3,Customer 128 comment
129,Eve Customer 129,129 Main St,4,555-6502,25168.05,HOUSEHOLD,4,Customer 129 comment
130,Bob Customer 130,130 Main St,5,555-3267,6591.37,MACHINERY,0,Customer 130 comment
131,Charlie Customer 131,131 Main St,6,555-4505,-2934.83,MACHINERY,1,Customer 131 comment
132,Frank Customer 132,132 Main St,7,555-9890,41251.67,BUILDING,2,Customer 132 comment
133,Diana Customer 133,133 Main St,8,555-7883,32842.45,HOUSEHOLD,3,Customer 133 comment
134,Alice Customer 134,134 Main St,9,555-7232,42467.77,FURNITURE,4,Customer 134 comment
135,Eve Customer 135,135 Main St,10,555-7389,83879.27,MACHINERY,0,Customer 135 comment
136,Iris Customer 136,136 Main St,11,555-9947,77985.5,AUTOMOBILE,1,Customer 136 comment
137,Henry Customer 137,137 Main St,12,555-4595,20022.88,MACHINERY,2,Customer 137 comment
138,Alice Customer 138,138 Main St,13,555-7371,26974.25,MACHINERY,3,Customer 138 comment
139,Charlie Customer 139,139 Main St,14,555-8657,91149.58,HOUSEHOLD,4,Customer 139 comment
140,Iris Customer 140,140 Main St,15,555-1441,89762.17,HOUSEHOLD,0,Customer 140 comment
141,Jack Customer 141,141 Main St,16,555-1444,-765.78,MACHINERY,1,Customer 141 comment
142,Charlie Customer 142,142 Main St,17,555-8564,9990.19,FURNITURE,2,Customer 142 comment
143,Grace Customer 143,143 Main St,18,555-6363,13282.63,FURNITURE,3,Customer 143 comment
144,Frank Customer 144,144 Main St,19,555-7211,20608.23,MACHINERY,4,Customer 144 comment
145,Eve Customer 145,145 Main St,20,555-2341,41733.75,HOUSEHOLD,0,Customer 145 comment
146,Alice Customer 146,146 Main St,21,555-6733,14664.44,BUILDING,1,Customer 146 comment
147,Alice Customer 147,147 Main St,22,555-1508,94457.29,AUTOMOBILE,2,Customer 147 comment
148,Alice Customer 148,148 Main St,23,555-3496,16239.94,MACHINERY,3,Customer 148 comment
149,Bob Customer 149,149 Main St,24,555-4571,41153.74,FURNITURE,4,Customer 149 comment
150,Frank Customer 150,150 Main St,0,555-3749,56648.2,BUILDING,0,Customer 150 comment
151,Charlie Customer 151,151 Main St,1,555-6096,1890.86,BUILDING,1,Customer 151 comment
152,Eve Customer 152,152 Main St,2,555-7149,33631.99,AUTOMOBILE,2,Customer 152 comment
153,Bob Customer 153,153 Main St,3,555-4978,1209.14,FURNITURE,3,Customer 153 comment
154,Jack Customer 154,154 Main St,4,555-2983,77584.99,HOUSEHOLD,4,Customer 154 comment
155,Alice Customer 155,155 Main St,5,555-6688,48601.98,FURNITURE,0,Customer 155 comment
156,Bob Customer 156,156 Main St,6,555-9289,61229.76,BUILDING,1,Customer 156 comment
157,Grace Customer 157,157 Main St,7,555-9031,1609.28,FURNITURE,2,Customer 157 comment
158,Henry Customer 158,158 Main St,8,555-3506,37903.59,HOUSEHOLD,3,Customer 158 comment
159,Eve Customer 159,159 Main St,9,555-9817,75210.56,MACHINERY,4,Customer 159 comment
160,Grace Customer 160,160 Main St,10,555-5397,25453.5,AUTOMOBILE,0,Customer 160 comment
161,Bob Customer 161,161 Main St,11,555-5569,86979.43,AUTOMOBILE,1,Customer 161 comment
162,Henry Customer 162,162 Main St,12,555-7209,27003.63,MACHINERY,2,Customer 162 comment
163,Frank Customer 163,163 Main St,13,555-3979,43630.49,FURNITURE,3,Customer 163 comment
164,Eve Customer 164,164 Main St,14,555-6576,20762.43,HOUSEHOLD,4,Customer 164 comment
165,Eve Customer 165,165 Main St,15,555-1166,46829.0,AUTOMOBILE,0,Customer 165 comment
166,Bob Customer 166,166 Main St,16,555-4954,69208.21,MACHINERY,1,Customer 166 comment
167,Iris Customer 167,167 Main St,17,555-4937,65967.03,MACHINERY,2,Customer 167 comment
168,Henry Customer 168,168 Main St,18,555-1282,235.87,AUTOMOBILE,3,Customer 168 comment
169,Grace Customer 169,169 Main St,19,555-4986,23682.66,HOUSEHOLD,4,Customer 169 comment
170,Frank Customer 170,170 Main St,20,555-8753,50882.03,FURNITURE,0,Customer 170 comment
171,Grace Customer 171,171 Main St,21,555-6419,28699.16,MACHINERY,1,Customer 171 comment
172,Eve Customer 172,172 Main St,22,555-6023,17654.4,BUILDING,2,Customer 172 comment
173,Diana Customer 173,173 Main St,23,555-6169,3151.02,HOUSEHOLD,3,Customer 173 comment
174,Charlie Customer 174,174 Main St,24,555-4138,13802.31,MACHINERY,4,Customer 174 comment
175,Eve Customer 175,175 Main St,0,555-9595,55646.98,BUILDING,0,Customer 175 comment
176,Diana Customer 176,176 Main St,1,555-5853,15023.15,AUTOMOBILE,1,Customer 176 comment
177,Eve Customer 177,177 Main St,2,555-1231,67882.03,AUTOMOBILE,2,Customer 177 comment
178,Eve Customer 178,178 Main St,3,555-1745,97172.44,HOUSEHOLD,3,Customer 178 comment
179,Eve Customer 179,179 Main St,4,555-3068,60165.66,MACHINERY,4,Customer 179 comment
180,Bob Customer 180,180 Main St,5,555-1200,53147.06,MACHINERY,0,Customer 180 comment
181,Henry Customer 181,181 Main St,6,555-8216,27477.65,BUILDING,1,Customer 181 comment
182,Eve Customer 182,182 Main St,7,555-8827,2549.59,BUILDING,2,Customer 182 comment
183,Grace Customer 183,183 Main St,8,555-9056,-1850.96,BUILDING,3,Customer 183 comment
184,Charlie Customer 184,184 Main St,9,555-3444,79225.63,FURNITURE,4,Customer 184 comment
185,Bob Customer 185,185 Main St,10,555-5066,3029.67,MACHINERY,0,Customer 185 comment
186,Jack Customer 186,186 Main St,11,555-4697,75326.29,MACHINERY,1,Customer 186 comment
187,Henry Customer 187,187 Main St,12,555-8253,22708.84,HOUSEHOLD,2,Customer 187 comment
188,Grace Customer 188,188 Main St,13,555-6003,52549.24,BUILDING,3,Customer 188 comment
189,Jack Customer 189,189 Main St,14,555-2625,94234.92,AUTOMOBILE,4,Customer 189 comment
190,Diana Customer 190,190 Main St,15,555-5335,62647.1,AUTOMOBILE,0,Customer 190 comment
191,Diana Customer 191,191 Main St,16,555-3847,50719.15,AUTOMOBILE,1,Customer 191 comment
192,Alice Customer 192,192 Main St,17,555-7693,39555.41,HOUSEHOLD,2,Customer 192 comment
193,Henry Customer 193,193 Main St,18,555-5771,-6409.62,FURNITURE,3,Customer 193 comment
194,Eve Customer 194,194 Main St,19,555-8438,-2170.23,AUTOMOBILE,4,Customer 194 comment
195,Eve Customer 195,195 Main St,20,555-4241,36765.29,HOUSEHOLD,0,Customer 195 comment
196,Diana Customer 196,196 Main St,21,555-3441,89925.26,AUTOMOBILE,1,Customer 196 comment
197,Bob Customer 197,197 Main St,22,555-1977,8251.51,FURNITURE,2,Customer 197 comment
198,Jack Customer 198,198 Main St,23,555-5728,38306.88,MACHINERY,3,Customer 198 comment
199,Eve Customer 199,199 Main St,24,555-7594,93694.39,HOUSEHOLD,4,Customer 199 comment
200,Iris Customer 200,200 Main St,0,555-9090,38153.47,HOUSEHOLD,0,Customer 200 comment
201,Alice Customer 201,201 Main St,1,555-8078,70798.73,HOUSEHOLD,1,Customer 201 comment
202,Eve Customer 202,202 Main St,2,555-1423,45.96,HOUSEHOLD,2,Customer 202 comment
203,Jack Customer 203,203 Main St,3,555-1339,99952.97,FURNITURE,3,Customer 203 comment
204,Jack Customer 204,204 Main St,4,555-1659,73941.99,AUTOMOBILE,4,Customer 204 comment
205,Henry Customer 205,205 Main St,5,555-9502,61666.04,FURNITURE,0,Customer 205 comment
206,Charlie Customer 206,206 Main St,6,555-8141,59826.32,MACHINERY,1,Customer 206 comment
207,Bob Customer 207,207 Main St,7,555-8700,28275.72,FURNITURE,2,Customer 207 comment
208,Frank Customer 208,208 Main St,8,555-2713,84350.64,FURNITURE,3,Customer 208 comment
209,Grace Customer 209,209 Main St,9,555-9117,21703.96,MACHINERY,4,Customer 209 comment
210,Iris Customer 210,210 Main St,10,555-1601,40030.85,FURNITURE,0,Customer 210 comment
211,Eve Customer 211,211 Main St,11,555-6296,2751.38,MACHINERY,1,Customer 211 comment
212,Iris Customer 212,212 Main St,12,555-1018,62342.64,HOUSEHOLD,2,Customer 212 comment
213,Henry Customer 213,213 Main St,13,555-7770,-4037.55,HOUSEHOLD,3,Customer 213 comment
214,Frank Customer 214,214 Main St,14,555-9167,58794.96,BUILDING,4,Customer 214 comment
215,Diana Customer 215,215 Main St,15,555-5375,50414.16,FURNITURE,0,Customer 215 comment
216,Henry Customer 216,216 Main St,16,555-8941,3356.87,HOUSEHOLD,1,Customer 216 comment
217,Diana Customer 217,217 Main St,17,555-3594,24182.52,BUILDING,2,Customer 217 comment
218,Iris Customer 218,218 Main St,18,555-7684,253.01,BUILDING,3,Customer 218 comment
219,Henry Customer 219,219 Main St,19,555-2924,61248.07,AUTOMOBILE,4,Customer 219 comment
220,Henry Customer 220,220 Main St,20,555-5781,45975.92,FURNITURE,0,Customer 220 comment
221,Grace Customer 221,221 Main St,21,555-8905,97826.91,AUTOMOBILE,1,Customer 221 comment
222,Henry Customer 222,222 Main St,22,555-3369,32194.46,HOUSEHOLD,2,Customer 222 comment
223,Iris Customer 223,223 Main St,23,555-3236,85042.96,FURNITURE,3,Customer 223 comment
224,Grace Customer 224,224 Main St,24,555-6568,92767.32,HOUSEHOLD,4,Customer 224 comment
225,Eve Customer 225,225 Main St,0,555-1042,21112.29,FURNITURE,0,Customer 225 comment
226,Jack Customer 226,226 Main St,1,555-9022,85178.67,MACHINERY,1,Customer 226 comment
227,Iris Customer 227,227 Main St,2,555-8935,27963.63,HOUSEHOLD,2,Customer 227 comment
228,Iris Customer 228,228 Main St,3,555-7180,40087.91,FURNITURE,3,Customer 228 comment
229,Diana Customer 229,229 Main St,4,555-4912,52897.74,AUTOMOBILE,4,Customer 229 comment
230,Grace Customer 230,230 Main St,5,555-1715,24999.4,MACHINERY,0,Customer 230 comment
231,Grace Customer 231,231 Main St,6,555-7325,98725.54,AUTOMOBILE,1,Customer 231 comment
232,Henry Customer 232,232 Main St,7,555-1606,3887.09,HOUSEHOLD,2,Customer 232 comment
233,Frank Customer 233,233 Main St,8,555-2644,86160.94,MACHINERY,3,Customer 233 comment
234,Bob Customer 234,234 Main St,9,555-9617,90148.58,BUILDING,4,Customer 234 comment
235,Charlie Customer 235,235 Main St,10,555-7717,85802.63,AUTOMOBILE,0,Customer 235 comment
236,Bob Customer 236,236 Main St,11,555-8692,75967.78,FURNITURE,1,Customer 236 comment
237,Frank Customer 237,237 Main St,12,555-7512,61482.03,FURNITURE,2,Customer 237 comment
238,Iris Customer 238,238 Main St,13,555-7226,94955.36,MACHINERY,3,Customer 238 comment
239,Iris Customer 239,239 Main St,14,555-1588,57920.54,AUTOMOBILE,4,Customer 239 comment
240,Eve Customer 240,240 Main St,15,555-4727,72144.3,MACHINERY,0,Customer 240 comment
241,Bob Customer 241,241 Main St,16,555-2646,38804.64,FURNITURE,1,Customer 241 comment
242,Alice Customer 242,242 Main St,17,555-1753,25681.21,BUILDING,2,Customer 242 comment
243,Eve Customer 243,243 Main St,18,555-6873,31232.52,AUTOMOBILE,3,Customer 243 comment
244,Diana Customer 244,244 Main St,19,555-9702,35325.69,AUTOMOBILE,4,Customer 244 comment
245,Charlie Customer 245,245 Main St,20,555-3868,-1313.48,MACHINERY,0,Customer 245 comment
246,Jack Customer 246,246 Main St,21,555-4945,44743.4,HOUSEHOLD,1,Customer 246 comment
247,Charlie Customer 247,247 Main St,22,555-4804,40726.49,FURNITURE,2,Customer 247 comment
248,Henry Customer 248,248 Main St,23,555-5183,63352.48,MACHINERY,3,Customer 248 comment
249,Eve Customer 249,249 Main St,24,555-9955,7377.32,MACHINERY,4,Customer 249 comment
250,Frank Customer 250,250 Main St,0,555-5901,60283.26,MACHINERY,0,Customer 250 comment
251,Eve Customer 251,251 Main St,1,555-8484,82983.43,AUTOMOBILE,1,Customer 251 comment
252,Grace Customer 252,252 Main St,2,555-8916,1731.86,MACHINERY,2,Customer 252 comment
253,Jack Customer 253,253 Main St,3,555-6881,53229.31,FURNITURE,3,Customer 253 comment
254,Alice Customer 254,254 Main St,4,555-7484,20192.84,HOUSEHOLD,4,Customer 254 comment
255,Alice Customer 255,255 Main St,5,555-9138,81612.28,FURNITURE,0,Customer 255 comment
256,Diana Customer 256,256 Main St,6,555-6772,14090.5,AUTOMOBILE,1,Customer 256 comment
257,Jack Customer 257,257 Main St,7,555-5106,64554.09,AUTOMOBILE,2,Customer 257 comment
258,Bob Customer 258,258 Main St,8,555-1645,23982.62,MACHINERY,3,Customer 258 comment
259,Alice Customer 259,259 Main St,9,555-6977,70559.57,BUILDING,4,Customer 259 comment
260,Eve Customer 260,260 Main St,10,555-6352,72222.9,AUTOMOBILE,0,Customer 260 comment
261,Diana Customer 261,261 Main St,11,555-3165,76516.41,FURNITURE,1,Customer 261 comment
262,Iris Customer 262,262 Main St,12,555-9221,90483.57,AUTOMOBILE,2,Customer 262 comment
263,Eve Customer 263,263 Main St,13,555-8894,96412.25,FURNITURE,3,Customer 263 comment
264,Frank Customer 264,264 Main St,14,555-2886,41516.45,BUILDING,4,Customer 264 comment
265,Charlie Customer 265,265 Main St,15,555-4696,84615.47,MACHINERY,0,Customer 265 comment
266,Iris Customer 266,266 Main St,16,555-6992,-66.68,MACHINERY,1,Customer 266 comment
267,Alice Customer 267,267 Main St,17,555-5332,49022.95,MACHINERY,2,Customer 267 comment
268,Frank Customer 268,268 Main St,18,555-5295,54301.61,FURNITURE,3,Customer 268 comment
269,Bob Customer 269,269 Main St,19,555-4830,41862.46,HOUSEHOLD,4,Customer 269 comment
270,Iris Customer 270,270 Main St,20,555-6374,90678.15,AUTOMOBILE,0,Customer 270 comment
271,Bob Customer 271,271 Main St,21,555-8606,90032.64,FURNITURE,1,Customer 271 comment
272,Grace Customer 272,272 Main St,22,555-2911,5375.47,BUILDING,2,Customer 272 comment
273,Eve Customer 273,273 Main St,23,555-9071,2773.25,AUTOMOBILE,3,Customer 273 comment
274,Iris Customer 274,274 Main St,24,555-3222,32751.04,FURNITURE,4,Customer 274 comment
275,Iris Customer 275,275 Main St,0,555-7866,54607.44,AUTOMOBILE,0,Customer 275 comment
276,Grace Customer 276,276 Main St,1,555-2622,81706.24,HOUSEHOLD,1,Customer 276 comment
277,Grace Customer 277,277 Main St,2,555-5583,-6401.21,FURNITURE,2,Customer 277 comment
278,Diana Customer 278,278 Main St,3,555-8264,38916.54,AUTOMOBILE,3,Customer 278 comment
279,Frank Customer 279,279 Main St,4,555-2627,97902.05,FURNITURE,4,Customer 279 comment
280,Iris Customer 280,280 Main St,5,555-6876,-3339.49,FURNITURE,0,Customer 280 comment
281,Diana Customer 281,281 Main St,6,555-3001,94391.19,MACHINERY,1,Customer 281 comment
282,Bob Customer 282,282 Main St,7,555-4475,60587.49,HOUSEHOLD,2,Customer 282 comment
283,Alice Customer 283,283 Main St,8,555-1828,76547.4,AUTOMOBILE,3,Customer 283 comment
284,Charlie Customer 284,284 Main St,9,555-4362,-2452.88,HOUSEHOLD,4,Customer 284 comment
285,Diana Customer 285,285 Main St,10,555-4538,79435.83,AUTOMOBILE,0,Customer 285 comment
286,Frank Customer 286,286 Main St,11,555-3417,76750.81,HOUSEHOLD,1,Customer 286 comment
